ID materiału,Etap,Sesje docelowe,Brief,Prompt lub dokładny tekst,Źródło,Model i wersja,Plan/licencja,Data,Plik master,Eksport,Status,Uwagi z telefonu
V01,PILOT,equal-rhythm; 90s-calm-down; longer-exhale; box-breathing; sleep-downshift; energy-up-breath; focus-breath; anxiety-slow-cycle; wired-steady; 3min-breath,"2 stany PNG, warstwy jeśli dostępne, 1 referencyjny film pełnego cyklu; timing finalnie w aplikacji","Original premium botanical-anatomical illustration for Releaf. Paired botanical lungs, recognizable lobed silhouette. Both lungs gently expand and brighten from within, then empty and contract; no floating replacement blob.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V01_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V02,PO PRZEGLĄDZIE PILOTA,emergency-grounding; 60s-grounding; back-to-room; sleep-faster-routine; night-nervous-system-unwind; before-panic-builds; panic-spike; overthinking-night; social-pressure; travel-stress; overwhelm-stability; evening-unwind,poster + pętla 6–10 s; oczy otwarte możliwe,"Original premium botanical-anatomical illustration for Releaf. Grounded seated figure with feet supported by a soft organic surface. Attention gently settles into contact points.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V02_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V03,PO PRZEGLĄDZIE PILOTA,emergency-grounding; back-to-room; object-anchor; sound-anchor; cool-water-reset; eye-focus-reset; before-panic-builds; panic-spike; travel-stress; overwhelm-stability,3 obiekty/stany + spokojna referencja; bez losowego przesuwania obiektów,"Original premium botanical-anatomical illustration for Releaf. Refined interior still life with leaf, stone and distant window. Attention highlights one object at a time, then settles.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V03_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V04,PILOT,jaw-shoulders; shoulder-drop-reset; anger-release,"3 pozy: neutralna, łagodne uniesienie, rozluźnienie + demonstracja","Original premium botanical-anatomical illustration for Releaf. Non-clinical upper-body botanical figure, relaxed face and shoulder line. Jaw releases without mouth close-up; shoulders slowly lower.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V04_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V05,PILOT,sleep-faster-routine; night-nervous-system-unwind; body-recalibration; tension-body-scan; evening-unwind,7 masek regionów + stan całego ciała i poster + referencja; nie narzucaj tempa skanowania filmem,"Original premium botanical-anatomical illustration for Releaf. Elegant full-body botanical figure at rest. Soft attention light identifies face/jaw, neck/shoulders, arms/hands, chest/upper back, abdomen/lower back, legs and feet, then the whole body.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V05_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V06,PO PRZEGLĄDZIE PILOTA,press-release; anger-release,neutral/press/release + demonstracja,"Original premium botanical-anatomical illustration for Releaf. Natural hands resting against a stable support. Gentle palm pressure then release, no clenched aggressive fists.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V06_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V07,PO PRZEGLĄDZIE PILOTA,name-the-thought; make-room; emotional-stability-drill; after-conflict; overthinking-night; overthinking-let-go,poster + loop; bez tekstu i unoszącego się mózgu,"Original premium botanical-anatomical illustration for Releaf. Soft ribbon of thought above a stable botanical form. It passes without being chased; the central form remains steady.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V07_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V08,PO PRZEGLĄDZIE PILOTA,morning-reset-ritual; confidence-posture-reset; quick-mood-shift; before-interview; before-presentation,"seated/standing poster + subtelna demonstracja, bez obietnic korekty postawy","Original premium botanical-anatomical illustration for Releaf. Warm balanced standing botanical figure. Weight rests comfortably over both feet, shoulders neutral.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V08_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V09,PO PRZEGLĄDZIE PILOTA,shake-it-out,poster + demonstracja; bez gwałtownego drżenia przypominającego atak,"Original premium botanical-anatomical illustration for Releaf. Coherent whole-body figure making gentle small-amplitude arm and shoulder shaking. Feet stay grounded.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V09_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V10,PO PRZEGLĄDZIE PILOTA,pushups-activation,"pilot: ściana, pozycja początkowa/ugięcie/powrót + demonstracja; do pełnego pokrycia także wersja podłogowa i siedzący press, zgodnie ze źródłowym wyborem w skrypcie","Original premium botanical-anatomical illustration for Releaf. Coherent clothed figure performing a controlled wall push-up, stable hands and aligned body.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V10_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
